day,licor,id,Photo,Ci,Tleaf,PARi
1,anderegg,H2-1,9.101210255,162.2914368,25.96561071,1999.987143
1,anderegg,H2-1,8.218960724,151.1266617,26.00210714,1999.981786
1,anderegg,H2-1,7.339221182,139.711442,26.03168148,1999.98963
1,anderegg,H2-1,6.690097103,129.7705972,26.05016429,1999.977857
1,anderegg,H2-1,5.79549232,120.1627872,26.05435556,1999.974444
1,anderegg,H2-1,5.14931034,110.5000169,26.05248929,1999.985714
1,anderegg,H2-1,4.312868452,100.536403,26.05145556,2000.009259
1,anderegg,H2-1,3.498704325,91.82518946,26.05656786,2000.022857
1,anderegg,H2-1,2.635040195,81.65670649,26.06971852,2000.01
1,anderegg,H2-1,16.71876645,276.1911433,25.95290323,2000.016452
1,anderegg,H2-1,16.54676925,277.5473964,25.97702759,2000.004483
1,anderegg,H2-1,16.27386118,279.8270652,26.000325,1999.985
1,anderegg,H2-1,16.52519714,279.646952,26.02385926,1999.976296
1,anderegg,H2-1,16.6824295,284.9396637,26.04305,1999.967857
1,anderegg,H2-1,17.00066557,293.3740804,26.05887778,1999.995926
1,anderegg,H2-1,17.74183932,299.7948173,26.0696,2000.008929
1,anderegg,H2-1,18.20805209,312.5811498,26.07763704,1999.992222
1,anderegg,H2-1,18.94369392,322.0807011,26.08036071,1999.974643
1,anderegg,H2-1,19.38362763,335.3056861,26.08494815,1999.981481
1,anderegg,H2-1,19.92610257,346.7978681,26.08933214,1999.998214
1,anderegg,H2-1,20.74038014,357.1407886,26.09273333,2000.011852
1,anderegg,H2-1,20.96931786,370.1755675,26.09479643,2000.000357
1,anderegg,H2-1,21.41509292,383.6525133,26.09537778,2000.007778
1,anderegg,H2-1,21.98131009,393.6981878,26.09623929,2000.0025
1,anderegg,H2-1,22.27664515,407.7080478,26.09479259,2000.002963
1,anderegg,H2-1,22.89216028,418.2409277,26.08922143,2000.004286
1,anderegg,H2-1,23.26937119,432.6998115,26.07910741,1999.99037
1,anderegg,H2-1,23.68705535,444.5225607,26.06081071,1999.979643
1,anderegg,H2-1,23.94429592,459.3670026,26.04032593,2000.005926
